district,population
Baling,132304
Bandar Baharu,41352
Kota Setar,357126
Kuala Muda,443488
Kubang Pasu,214479
Kulim,281260
Langkawi,92784
Padang Terap,61970
Sik,66387
Yan,66606
Pendang,93598
Pokok Sena,48347
Bachok,77447
Kota Bharu,468438
Machang,56937
Pasir Mas,180878
Pasir Putih,113191
Tanah Merah,115949
Tumpat,143793
Gua Musang,86189
Kuala Krai,104234
Jeli,33186
Gombak,668694
Klang,842147
Kuala Langat,220214
Kuala Selangor,205257
Petaling,1765495
Sabak Bernam,46354
Sepang,207354
Hulu Langat,1138198
Hulu Selangor,194387
Batu Pahat,262684
Johor Baharu,1061590
Keluang,215416
Mersing,33741
Muar,201148
Pontian,93651
Segamat,135575
Kulaijaya,245294
Ledang,131890
Alor Gajah,173712
Jasin,131539
Melaka Tengah,484885
Jelebu,26608
Kuala Pilah,43791
Port Dickson,101073
Rembau,29595
Seremban,515490
Tampin,57506
Jempol,61308
Bentong,114397
Cameron Highlands,34510
Jerantut,88035
Kuantan,427515
Lipis,74581
Pekan,103839
Raub,91731
Temerloh,158724
Rompin,109599
Maran,111056
Bera,94105
Batang Padang,125867
Manjung,211113
Kinta,737861
Kerian,120359
Kuala Kangsar,108504
Larut and Matang,275464
Hilir Perak,128143
Hulu Perak,60547
Perak Tengah,58816
Kampar,90313
Perlis,225590
Seberang Perai Tengah,362820
Seberang Perai Utara,288692
Seberang Perai Selatan,166685
Timur Laut,510996
Barat Daya,197131
Tawau,397673
Lahad Datu,199830
Semporna,133164
Sandakan,396290
Kinabatangan,146987
Beluran,104484
Kota Kinabalu,462058
Ranau,94092
Kota Belud,91272
Tuaran,102411
Penampang,121934
Papar,124420
Kudat,124420
Kota Marudu,66374
Pitas,37808
Beaufort,64350
Kuala Penyu,18958
Sipitang,34862
Tenom,55553
Nabawan,31807
Keningau,173103
Tambunan,35667
Kunak,61094
Tongod,35341
Putatan,54733
Kuching,898617
Bau,52760
Lundu,32568
Samarahan,85495
Serian,89078
Simunjan,38324
Sri Aman,64500
Betong,60728
Saratok,45015
Sarikei,56228
Meradong,28713
Daro,29975
Julau,15449
Sibu,240165
Dalat,18523
Mukah,41481
Kanowit,28259
Bintulu,183402
Tatau,29592
Kapit,55304
Song,20105
Belaga,35247
Miri,290274
Limbang,46980
Lawas,37212
Matu,16952
Asajaya,31190
Pakan,15139
Selangau,22318
Hulu Terengganu,70800
Setiu,54563
Kuala Lumpur,1588750
Labuan,83920
Putrajaya,68361
Marudi,62883
Lubok Antu,27363
Kota Tinggi,84971
Dungun,149851
Besut,136563
Kemaman,166750
Kuala Terengganu,337563
Marang,95283
