,district,population
0,Alor Gajah,173712
1,Asajaya,31190
2,Bachok,77447
3,Baling,132304
4,Bandar Baharu,41352
5,Barat Daya,197131
6,Batang Padang,125867
7,Batu Pahat,209461
8,Bau,52760
9,Beaufort,64350
10,Belaga,35247
11,Bentong,114397
12,Bera,94105
13,Besut,136563
14,Betong,60728
15,Bintulu,183402
16,Cameron Highlands,34510
17,Dalat,18523
18,Daro,29975
19,Debak,357
20,Dungun,149851
21,Engkilili,1035
22,Gombak,542409
23,Gua Musang,86189
24,Hilir Perak,128143
25,Hulu Perak,15878
26,Hulu Selangor,194387
27,Hulu Terengganu,70800
28,Jasin,131539
29,Jelebu,26608
30,Jempol,61308
31,Jerantut,88035
32,Johor Baharu,497067
33,Julau,15449
34,Kanowit,28259
35,Kapit,90551
36,Keluang,167833
37,Kemaman,166750
38,Keningau,173103
39,Kerian,120192
40,Kinabatangan,182328
41,Kinta,737861
42,Klang,744062
43,Kota Belud,91272
44,Kota Bharu,314964
45,Kota Kinabalu,452058
46,Kota Marudu,66374
47,Kota Setar,357176
48,Kota Tinggi,84971
49,Kuala Kangsar,108504
50,Kuala Krai,63575
51,Kuala Langat,220214
52,Kuala Muda,443488
53,Kuala Penyu,18958
54,Kuala Pilah,43791
55,Kuala Selangor,205257
56,Kuala Terengganu,337553
57,Kuantan,427515
58,Kubang Pasu,214479
59,Kuching,325132
60,Kudat,83140
61,Kulim,281260
62,Lahad Datu,199830
63,Langkawi,92784
64,Larut and Matang,245015
65,Lawas,37212
66,Limbang,46980
67,Lingga,152
68,Lipis,74581
69,Lubok Antu,27363
70,Lundu,32568
71,Machang,56937
72,Manjung,211113
73,Maran,111056
74,Marang,95283
75,Marudi,62883
76,Matu,16952
77,Melaka Tengah,484885
78,Mersing,33741
79,Miri,234541
80,Muar,201148
81,Mukah,41481
82,Oya,1101
83,Padang Terap,61970
84,Padawan,273485
85,Pakan,15139
86,Pantu,410
87,Papar,124420
88,Pasir Mas,180878
89,Pasir Putih,113191
90,Pekan,103839
91,Penampang,176667
92,Pendang,93598
93,Pensiangan,307
94,Perak Tengah,58816
95,Perlis,225590
96,Pitas,37808
97,Pontian,93651
98,Port Dickson,101073
99,Pusa,180
100,Ranau,94092
101,Raub,91731
102,Rembau,29595
103,Roban,548
104,Rompin,109599
105,Sabak Bernam,46354
106,Samarahan,85495
107,Sandakan,396290
108,Saratok,45015
109,Sarikei,56228
110,Seberang Perai Selatan,166685
111,Seberang Perai Tengah,362820
112,Seberang Perai Utara,288692
113,Sebuyao,1051
114,Segamat,103035
115,Selama,30449
116,Sematan,1203
117,Semporna,133164
118,Sepang,207354
119,Seremban,314502
120,Serian,89078
121,Setiu,54563
122,Shah Alam,541306
123,Sibu,162676
124,Siburan,3927
125,Sik,66387
126,Simunjan,38324
127,Sipitang,34862
128,Song,20105
129,Spaoh,268
130,Sri Aman,64500
131,Sundar,128
132,Tambunan,35667
133,Tampin,57506
134,Tanah Merah,115949
135,Tatau,29592
136,Tawau,397673
137,Tebedu,111
138,Temerloh,158724
139,Tenom,55553
140,Timur Laut,510996
141,Trusan,249
142,Tuaban,102411
143,Tumpat,143793
144,Yan,66606
