district,population
Alor Gajah,173712
Alor Setar,405523
Ampang Jaya,468961
Bachok,77447
Baling ,132304
Bandar Baharu,41352
Batu Gajah,79969
Batu Pahat,209461
Bau,52760
Beaufort,64350
Beluran,104484
Bentong,114397
Bera,94105
Besut,136563
Betong,60728
Bintulu,212994
Cameron Highlands,34510
Dabong,40659
Dalat dan Mukah,60004
Dungun,149851
Grik,31291
Gua Musang,86189
Hulu Terengganu,70800
Ipoh,657892
Jasin,131539
Jelebu,26608
Jeli,33186
Jempol,61308
Jerantut,88035
Johor Bahru,497067
Johor Bahru Tengah,529074
Kajang,795522
Kampar,90313
Kangar,225590
Kanowit,28259
Kapit,110656
Kemaman,166750
Keningau,173103
Kerian,120192
Ketereh,153474
Kinabatangan,182328
Klang,744062
Kluang,167833
Kota Belud,91272
Kota Bharu Bandaraya Islam,314964
Kota Kinabalu,452058
Kota Marudu/                       Pitas,104182
Kota Tinggi,84971
Kuala Kangsar,108504
Kuala Krai,63575
Kuala Langat,220214
Kuala Lumpur,1588750
Kuala Penyu,18958
Kuala Pilah,43791
Kuala Selangor,205257
Kuala Terengganu,337553
Kuantan,427515
Kubang Pasu,214479
Kuching Selatan,159490
Kuching Utara,165642
Kudat,83140
Kulai,234532
Kulim,281260
Kunak,61094
Labis,32540
Labuan,83920
Lahad Datu,199830
Langkawi Bandaraya Pelancongan,92784
Lawas,37212
Lenggong,13378
Limbang,46980
Lipis,74581
Lubok Antu,27363
Lundu,32568
Machang,56937
Manjung,211113
Maradong dan Julau,59301
Maran,111056
Marang,95283
Marudi,62883
Matu dan Daro,46927
Melaka Bandaraya Bersejarah,484885
Mersing,33741
Miri,234541
Muar,201148
Nabawan,31807
Nilai,200988
Padang Terap,61970
Padawan,273485
Papar,124420
Pasir Gudang,46571
Pasir Mas,180878
Pasir Puteh,113191
Pekan,103839
Penampang,176667
Pendang,93598
Pengkalan Hulu,15878
Perak Tengah,58816
Petaling Jaya,613977
Pontian,93651
Port Dickson,101073
Pulau Pinang,708127
Putrajaya,68361
Ranau,94092
Raub,91731
Rembau,29595
Rompin ,109599
Sabak Bernam,46354
Samarahan,116685
Sandakan,396290
Saratok,45015
Sarikei,56228
Seberang Perai,818197
Segamat,103035
Selama,30449
Selayang,542409
Semporna,133164
Sepang,207354
Seremban,314502
Serian,89078
Setiu,54563
Shah Alam,541306
Sibu,162676
Selangau,99807
Sik ,66387
Simpang Renggam,47583
Simunjan,38324
Sipitang,34862
Sri Aman,64500
Subang Jaya,708296
Subis,55733
Sungai Petani,443488
Taiping,245182
Tambunan,35667
Tampin,57506
Tanah Merah,115949
Tangkak,131890
Tanjung Malim,50575
Tapah,75292
Tawau,397673
Teluk Intan,128143
Temerloh,158724
Tenom,55553
Tuaran,102411
Tumpat ,143793
Ulu Selangor,194387
Yan,66606
Yong Peng,53223
